File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
FlowSim_test, 156239 (50.06%), 0 (0.00%), 2453 (0.79%), 13773 (4.41%), 0 (0.00%), 20562 (6.59%), 40829 (13.08%), 271276 (86.92%), 312105
layer_name,FlowSim_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
mlp_moelayer_55,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_56,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
final_column,FlowSim_test,122.558000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
embedding_layer_2,FlowSim_test,87.204000,122.558000,1.000000,22.510000,0.000000,0.000000,22.510000,130.150482,227.763336,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
attention_column_9,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_9,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_57,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_58,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_59,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_60,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_61,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_62,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_63,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
final_column_2,FlowSim_test,122.558000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
cross_entropy1,FlowSim_test,50.000000,50.000000,50.000000,5.689000,0.000000,0.000000,5.689000,2.682157,4.693774,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
cross_entropy2,FlowSim_test,50.000000,50.000000,50.000000,5.689000,0.000000,0.000000,5.689000,2.682157,4.693774,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
cross_entropy3,FlowSim_test,50.000000,50.000000,50.000000,5.689000,0.000000,0.000000,5.689000,2.682157,4.693774,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
optimizer1,FlowSim_test,25.000000,25.000000,25.000000,5.689000,0.000000,0.000000,5.689000,0.670539,1.173444,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
optimizer2,FlowSim_test,25.000000,25.000000,25.000000,5.689000,0.000000,0.000000,5.689000,0.670539,1.173444,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
SUM,FlowSim_test,18198.087000,4956.177000,17674.881000,8164.153000,156238.850000,8062.730000,8164.153000,NONE,NONE,740702.674000,NONE,NONE,8062.730000,NONE,NONE
total exposed comm,271276.353000,total comp,40829.145000,total time,312105.498000
